id, context
1, "School"
2, "Hospital"
3, "Office"
4, "Street"
5, "Park"
6, "Home"
7, "Shop"
8, "Restaurant"
9, "Library"
10, "Station"
11, "Airport"
12, "Cinema"
13, "Museum"
14, "Theater"
15, "Beach"
16, "Mountain"
17, "Farm"
18, "Construction site"
19, "Laboratory"
20, "Stadium"
21, "Church"
22, "Gym"
23, "Market"
24, "Pharmacy"
25, "Court"
26, "Prison"
27, "Battlefield"
28, "Operating room"
29, "University classroom"
30, "Homeless shelter"
31, "Elderly care center"
32, "Daycare center"
33, "Military base"
34, "Veterinary clinic"
35, "Space station"
36, "Virtual environment"
37, "Natural disaster zone"
38, "Refugee camp"
39, "Surveillance room"
40, "Family conflict"
41, "Cybersecurity situation"
42, "Factory"
43, "Bank"
44, "Power plant"
45, "Server room"
46, "Emergency room"
47, "Low-income neighborhood"
48, "Elevator"
49, "Subway"
50, "Urban jungle"
